"household_key","DAY","text","SALES_VALUE","nextpurchase","Siguiente_compra","n_prod","AGE_DESC_19.24","AGE_DESC_25.34","AGE_DESC_35.44","AGE_DESC_45.54","AGE_DESC_55.64","AGE_DESC_65.","MARITAL_STATUS_CODE_A","MARITAL_STATUS_CODE_B","MARITAL_STATUS_CODE_U","INCOME_DESC_15.24K","INCOME_DESC_25.34K","INCOME_DESC_35.49K","INCOME_DESC_50.74K","INCOME_DESC_75.99K","INCOME_DESC_100.124K","INCOME_DESC_125.149K","INCOME_DESC_150.174K","INCOME_DESC_175.199K","INCOME_DESC_200.249K","INCOME_DESC_250K.","INCOME_DESC_Under.15K","HOMEOWNER_DESC_Homeowner","HOMEOWNER_DESC_Probable.Owner","HOMEOWNER_DESC_Probable.Renter","HOMEOWNER_DESC_Renter","HOMEOWNER_DESC_Unknown","HH_COMP_DESC_1.Adult.Kids","HH_COMP_DESC_2.Adults.Kids","HH_COMP_DESC_2.Adults.No.Kids","HH_COMP_DESC_Single.Female","HH_COMP_DESC_Single.Male","HH_COMP_DESC_Unknown","HOUSEHOLD_SIZE_DESC_1","HOUSEHOLD_SIZE_DESC_2","HOUSEHOLD_SIZE_DESC_3","HOUSEHOLD_SIZE_DESC_4","HOUSEHOLD_SIZE_DESC_5.","KID_CATEGORY_DESC_1","KID_CATEGORY_DESC_2","KID_CATEGORY_DESC_3.","KID_CATEGORY_DESC_None.Unknown","Prom_compra","Prom_vuelta","Vuelta","Apriori_despensa","Apriori_chatarra"
40,137,"VEGETABLES_SALAD BAKED_BREAD/BUNS/ROLLS TOMATOES PORK IN-STORE_PHOTOFINISHING FLUID_MILK_PRODUCTS EGGS APPLES SHORTENING/OIL SEAFOOD-FRESH LUNCHMEAT DIAPERS_&_DISPOSABLES",43.17,64.46,1,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40.38,2.95,3,0.0722957384324435,0.015096849075323
40,138,"COOKIES/CONES BAKED_BREAD/BUNS/ROLLS BROCCOLI/CAULIFLOWER YOGURT LUNCHMEAT APPLES SWEET_GOODS_&_SNACKS GASOLINE-REG_UNLEADED CAKES",64.46,88.27,3,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40.38,2.95,1,0.0722957384324435,0.015096849075323
40,141,"MUSHROOMS ONIONS BREAD BROCCOLI/CAULIFLOWER IN-STORE_PHOTOFINISHING BAKED_BREAD/BUNS/ROLLS YOGURT EGGS MEAT_-_MISC PORK MELONS APPLES WATER_-_CARBONATED/FLVRD_DRINK REFRIGERATED SPICES_&_EXTRACTS MARGARINES ORGANICS_FRUIT_&_VEGETABLES CHEESE COFFEE_FILTERS",88.27,41.35,3,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40.38,2.95,3,0.0722957384324435,0.015096849075323
40,144,"MUSHROOMS BREAD FD_WRAPS/BAGS/TRSH_BG SEAFOOD_-_SHELF_STABLE DISHWASH_DETERGENTS WATER_-_CARBONATED/FLVRD_DRINK FLUID_MILK_PRODUCTS EGGS BAKED_BREAD/BUNS/ROLLS CHEESE HISPANIC DIAPERS_&_DISPOSABLES",41.35,41.8,1,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40.38,2.95,3,0.0722957384324435,0.015096849075323
40,145,"GASOLINE-REG_UNLEADED",41.8,72.1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40.38,2.95,1,0.0722957384324435,0.015096849075323
40,147,"VEGETABLES_SALAD BAKED_BREAD/BUNS/ROLLS BROCCOLI/CAULIFLOWER BEEF REFRGRATD_JUICES/DRNKS CARROTS YOGURT SUGARS/SWEETNERS FD_WRAPS/BAGS/TRSH_BG ORGANICS_FRUIT_&_VEGETABLES TEAS STATIONERY_&_SCHOOL_SUPPLIES CANNED_JUICES HISPANIC SEAFOOD_-_FROZEN CORN DRY_BN/VEG/POTATO/RICE CANDY_-_PACKAGED DRIED_FRUIT FILM_AND_CAMERA_PRODUCTS PLASTIC_HOUSEWARES CONVENIENT_BRKFST/WHLSM_SNACKS FROZEN_-_BOXED(GROCERY) CHEESE",72.1,52.88,7,48,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40.38,2.95,2,0.0722957384324435,0.015096849075323
40,154,"VEGETABLES_-_SHELF_STABLE GRAPES DIAPERS_&_DISPOSABLES CHEESE SPICES_&_EXTRACTS VEGETABLES_-_ALL_OTHERS REFRGRATD_DOUGH_PRODUCTS PLASTIC_HOUSEWARES DRY_BN/VEG/POTATO/RICE PAPER_HOUSEWARES DINNER_MXS:DRY PROCESSED STATIONERY_&_SCHOOL_SUPPLIES COOKIES/CONES MARGARINES FD_WRAPS/BAGS/TRSH_BG SOAP_-_LIQUID_&_BAR DRIED_FRUIT COOKWARE_&_BAKEWARE",52.88,29.01,4,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40.38,2.95,7,0.0722957384324435,0.015096849075323
40,158,"BROCCOLI/CAULIFLOWER STATIONERY_&_SCHOOL_SUPPLIES VEGETABLES_SALAD YOGURT CRACKERS/MISC_BKD_FD REFRIGERATED PRODUCE_DEPT_KEY_RING WATER_-_CARBONATED/FLVRD_DRINK CONDIMENTS/SAUCES PLASTIC_HOUSEWARES",29.01,38.07,2,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40.38,2.95,4,0.0722957384324435,0.015096849075323
40,160,"PNT_BTR/JELLY/JAMS EGGS COUPONS/STORE_&_MFG SNKS/CKYS/CRKR/CNDY SHORTENING/OIL FLUID_MILK_PRODUCTS HISPANIC CANDY_-_PACKAGED HAIR_CARE_ACCESSORIES CHICKEN VEGETABLES_-_ALL_OTHERS TROPICAL_FRUIT ROLLS LUNCHMEAT HAIR_CARE_PRODUCTS PAPER_HOUSEWARES",38.07,35.29,4,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40.38,2.95,2,0.0722957384324435,0.015096849075323
40,164,"BROCCOLI/CAULIFLOWER CHEESE EGGS YOGURT CHICKEN HISPANIC BAKED_SWEET_GOODS WATER_-_CARBONATED/FLVRD_DRINK SHORTENING/OIL ROLLS GRAPES DINNER_SAUSAGE SANDWICHES",35.29,42.09,1,19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40.38,2.95,4,0.0722957384324435,0.015096849075323
